iter	Passed	Remaining
986	3772	15339
987	3776	15335
988	3780	15331
989	3784	15327
990	3787	15323
991	3791	15320
992	3795	15316
993	3799	15312
994	3801	15303
995	3804	15293
996	3808	15289
997	3811	15286
998	3815	15282
999	3819	15278
1000	3823	15274
1001	3827	15270
1002	3831	15266
1003	3834	15262
1004	3837	15253
1005	3841	15249
1006	3843	15239
1007	3845	15230
1008	3849	15226
1009	3853	15223
1010	3857	15218
1011	3861	15215
1012	3864	15211
1013	3868	15208
1014	3872	15204
1015	3876	15200
1016	3880	15196
1017	3884	15192
1018	3887	15188
1019	3891	15184
1020	3895	15181
1021	3899	15177
1022	3903	15173
1023	3906	15169
1024	3910	15166
1025	3914	15162
1026	3918	15158
1027	3922	15155
1028	3926	15151
1029	3929	15147
1030	3932	15138
1031	3936	15134
1032	3939	15130
1033	3943	15126
1034	3947	15122
1035	3951	15118
1036	3955	15114
1037	3957	15105
1038	3961	15102
1039	3965	15098
1040	3969	15094
1041	3972	15090
1042	3976	15086
1043	3980	15081
1044	3982	15072
1045	3986	15069
1046	3990	15065
1047	3994	15061
1048	3997	15057
1049	4001	15053
1050	4005	15050
1051	4009	15046
1052	4013	15042
1053	4017	15039
1054	4020	15035
1055	4024	15031
1056	4028	15028
1057	4032	15023
1058	4036	15020
1059	4040	15016
1060	4043	15013
1061	4046	15004
1062	4050	15000
1063	4053	14996
1064	4057	14992
1065	4061	14988
1066	4065	14984
1067	4069	14980
1068	4072	14977
1069	4076	14972
1070	4080	14968
1071	4084	14965
1072	4087	14961
1073	4090	14952
1074	4094	14948
1075	4097	14944
1076	4100	14935
1077	4104	14931
1078	4107	14928
1079	4111	14924
1080	4115	14920
1081	4119	14916
1082	4124	14917
1083	4128	14913
1084	4132	14910
1085	4136	14906
1086	4139	14902
1087	4143	14898
1088	4147	14894
1089	4151	14891
1090	4155	14887
1091	4158	14883
1092	4162	14879
1093	4166	14875
1094	4170	14871
1095	4173	14867
1096	4177	14863
1097	4181	14859
1098	4185	14855
1099	4189	14851
1100	4192	14848
1101	4196	14844
1102	4200	14840
1103	4204	14836
1104	4207	14832
1105	4211	14828
1106	4215	14824
1107	4219	14820
1108	4223	14816
1109	4226	14812
1110	4230	14809
1111	4234	14805
1112	4238	14801
1113	4242	14797
1114	4245	14794
1115	4249	14790
1116	4253	14786
1117	4257	14782
1118	4261	14778
1119	4265	14775
1120	4268	14771
1121	4272	14767
1122	4276	14763
1123	4280	14760
1124	4283	14755
1125	4287	14751
1126	4291	14748
1127	4295	14744
1128	4299	14740
1129	4302	14736
1130	4306	14731
1131	4310	14728
1132	4314	14724
1133	4317	14720
1134	4321	14716
1135	4325	14712
1136	4331	14715
1137	4334	14711
1138	4338	14706
1139	4342	14703
1140	4346	14699
1141	4350	14695
1142	4353	14691
1143	4357	14687
1144	4361	14683
1145	4364	14679
1146	4368	14675
1147	4372	14671
1148	4376	14667
1149	4379	14663
