iter	Passed	Remaining
893	1106	5079
894	1108	5083
895	1109	5082
896	1112	5087
897	1117	5103
898	1119	5108
899	1122	5114
900	1125	5120
901	1128	5124
902	1130	5128
903	1131	5128
904	1133	5128
905	1135	5130
906	1137	5132
907	1139	5133
908	1140	5134
909	1142	5136
910	1144	5136
911	1146	5138
912	1147	5138
913	1149	5139
914	1151	5141
915	1153	5141
916	1154	5142
917	1156	5142
918	1157	5141
919	1160	5146
920	1162	5150
921	1164	5152
922	1168	5160
923	1169	5159
924	1171	5160
925	1173	5161
926	1174	5161
927	1176	5162
928	1178	5163
929	1179	5163
930	1181	5164
931	1183	5164
932	1184	5164
933	1186	5163
934	1187	5164
935	1189	5164
936	1191	5165
937	1193	5166
938	1194	5165
939	1196	5167
940	1199	5172
941	1200	5173
942	1202	5174
943	1203	5172
944	1204	5170
945	1207	5172
946	1209	5175
947	1211	5177
948	1213	5181
949	1215	5183
950	1217	5181
951	1218	5180
952	1219	5178
953	1220	5176
954	1221	5175
955	1222	5172
956	1224	5171
957	1225	5168
958	1226	5166
959	1227	5163
960	1228	5163
961	1229	5162
962	1230	5160
963	1232	5158
964	1233	5155
965	1234	5153
966	1235	5151
967	1236	5149
968	1237	5147
969	1238	5146
970	1239	5143
971	1240	5141
972	1241	5139
973	1242	5137
974	1244	5136
975	1245	5134
976	1246	5132
977	1247	5131
978	1248	5129
979	1249	5126
980	1250	5124
981	1251	5122
982	1253	5120
983	1254	5119
984	1255	5117
985	1256	5115
986	1257	5113
987	1259	5114
988	1261	5117
989	1264	5120
990	1266	5122
991	1268	5125
992	1270	5125
993	1271	5124
994	1273	5124
995	1274	5124
996	1276	5125
997	1278	5126
998	1280	5127
999	1281	5126
1000	1283	5127
1001	1284	5126
1002	1286	5127
1003	1288	5128
1004	1290	5128
1005	1291	5128
1006	1293	5128
1007	1294	5127
1008	1296	5126
1009	1297	5125
1010	1299	5126
1011	1300	5126
1012	1302	5125
1013	1303	5125
1014	1305	5126
1015	1307	5128
1016	1309	5127
1017	1311	5128
1018	1312	5128
1019	1314	5128
1020	1315	5127
1021	1317	5127
1022	1318	5126
1023	1320	5126
1024	1322	5128
1025	1324	5128
1026	1325	5129
1027	1327	5129
1028	1329	5130
1029	1331	5130
1030	1332	5129
1031	1333	5128
1032	1334	5126
1033	1336	5124
1034	1337	5124
1035	1338	5122
